Status,PageTime_ms,TotalServerTime_ms,TotalBrowserTime_ms,Action_count,Api_count,Db_count,DbTime_ms,Xhr_count
Invalid,2189,2424,1686,13,50,287,519,10
Regression,2670,2266,1593,14,52,289,321,10
Invalid,2483,2622,1658,14,52,291,626,10
Invalid,3386,3422,1637,14,52,285,1527,10
Regression,2719,2319,1691,13,52,285,306,10
Success,2377,2177,1701,13,59,321,479,10
Invalid,2740,2146,2152,13,59,321,491,10
Success,2197,2174,1654,13,58,314,344,10
Success,2222,2576,1692,13,50,319,533,10
Invalid,2962,2632,1659,14,52,289,701,10
Success,2203,1991,1647,13,0,0,0,11
Success,2379,2188,1802,13,59,317,470,10
Invalid,2179,2159,1639,13,60,323,509,10
Invalid,3580,5448,1777,13,52,287,2309,10
Regression,4352,5371,1664,14,52,289,3374,10
Invalid,2126,2528,1695,13,59,320,469,10
Success,2249,2598,1602,13,59,321,473,10
Invalid,2221,2562,1868,13,59,317,521,10
Success,2233,2042,1726,13,59,319,450,10
Regression,3545,2291,2945,14,60,292,492,11
Regression,2520,2262,2072,13,59,317,497,10
Invalid,2423,2225,1786,13,52,297,539,10
Regression,2881,2367,1645,14,52,293,322,10
Invalid,2219,2287,1673,13,59,323,567,10
Invalid,2491,2177,1883,13,59,317,472,10
Invalid,2164,2459,1677,13,50,371,548,10
Invalid,2219,4526,1856,14,77,441,353,14
Success,2379,2264,1819,13,50,337,485,10
Invalid,2293,2803,1713,13,54,290,475,10
Invalid,2456,1582,1187,10,31,209,290,6
Invalid,2441,2122,1758,13,59,317,508,10
Invalid,1956,1841,1061,9,32,152,281,6
Regression,2515,2150,1730,13,59,319,492,10
Invalid,2823,1937,1828,13,60,325,479,10
Success,2304,2296,1688,13,52,287,535,10
Invalid,3046,2781,2068,13,50,291,496,10
Regression,2775,2379,1614,13,52,289,394,10
Success,2067,2481,1628,13,50,335,521,10
Invalid,1825,1642,1037,9,32,152,304,6
Invalid,2206,2214,1582,13,50,291,520,10
Success,2449,2102,1777,13,59,321,513,10
Success,2158,2362,1601,13,50,289,558,10
Invalid,2206,2147,1605,13,59,321,476,10
Regression,2889,2291,1643,14,52,287,311,10
Invalid,2189,2035,1638,13,50,293,524,10
Regression,2588,2297,1579,13,52,289,327,10
Invalid,1987,2440,1650,13,50,293,564,10
Regression,2881,4049,1589,13,54,339,513,10
Regression,2972,2302,1675,13,52,289,433,10
Success,2089,2388,1584,13,50,319,491,10
Success,2362,2459,1704,13,52,291,476,10
Invalid,1041,1074,1093,6,30,151,245,6
Regression,4638,5589,1657,14,52,289,3544,10
Success,2335,2181,1759,13,52,287,517,10
Regression,2755,2309,1598,13,52,285,320,10
Invalid,1920,2084,1200,12,49,281,363,10
Invalid,2196,1948,1743,13,50,285,509,10
Success,2316,2276,1778,13,50,289,577,10
Success,2295,1913,1700,13,52,287,507,10
Invalid,1034,1124,770,6,30,151,247,6
Regression,2537,2055,1823,13,59,323,516,10
Regression,2824,2354,1958,13,59,329,501,10
